House_ID,Area,Bedrooms,Bathrooms,Garage,Floors,Has_Garden,Location_Score,Year_Built,Distance_Center,Renovated,Price
1,3974,2,2,1,1,1,6,1997,8,0,466400
2,1660,2,3,0,3,1,8,1997,31,1,214500
3,2094,2,2,0,3,1,1,1979,4,0,254400
4,1930,2,3,1,1,1,10,1996,4,1,287000
5,1895,5,2,0,2,1,10,1996,44,1,243500
6,3892,2,3,0,2,1,2,2023,7,1,484700
7,2438,3,2,1,2,1,7,2007,0,0,349800
8,2969,4,1,0,1,1,5,1998,28,1,348900
9,1266,2,2,0,2,1,4,1992,49,1,127100
10,2038,5,3,0,3,0,7,2001,7,0,307300
11,1130,2,2,0,3,0,5,2018,10,1,197000
12,2282,4,2,0,1,1,5,1972,23,1,266700
13,2935,1,3,1,1,1,4,2002,5,1,370000
14,3971,1,3,0,3,1,9,2000,31,1,440600
15,3719,5,2,0,1,1,4,2006,47,1,416400
16,930,5,2,1,2,1,6,1994,7,1,200500
17,2485,5,1,1,2,0,7,2013,28,1,334500
18,1569,2,3,1,3,0,10,1985,10,1,230900
19,3191,4,1,1,3,1,6,1972,16,1,379100
20,2315,4,1,1,1,1,7,1973,44,0,239500
21,3653,4,3,0,1,0,6,2001,34,0,410300
22,3233,1,3,1,1,0,4,2013,2,1,409300
23,2015,4,2,0,2,0,5,2004,24,1,267500
24,1755,5,3,0,3,1,6,1978,36,1,223500
25,3124,2,3,1,2,0,3,1980,16,0,348400
26,1984,1,2,0,3,1,6,1975,6,0,236400
27,1259,2,1,0,1,0,8,2007,12,0,183900
28,821,3,3,1,2,1,10,1997,34,1,145100
29,3100,5,1,1,2,0,4,1974,33,1,343500
30,1547,1,3,1,1,1,10,1990,3,1,234200
31,3704,5,3,0,1,1,5,2010,4,0,483400
32,1274,2,1,1,1,1,10,1990,45,0,136900
33,1882,4,2,0,1,1,3,1973,17,1,232700
34,3358,3,1,0,2,1,3,2024,9,1,431300
35,2847,5,3,1,2,1,1,2004,22,1,374700
36,3547,3,2,0,2,1,8,2022,9,1,463200
37,1775,2,1,1,3,1,4,2019,45,0,210000
38,2606,5,1,1,3,0,9,2008,2,0,380600
39,989,4,1,0,1,1,7,1990,11,1,172400
40,3805,3,2,1,1,0,3,2022,14,1,470500
41,3534,1,1,1,1,0,3,1988,35,0,345900
42,3805,2,3,1,2,0,9,1975,15,1,432000
43,1362,5,1,1,1,1,7,2018,38,1,215200
44,2699,1,2,0,2,1,10,2003,1,1,355400
45,2067,4,2,0,1,1,6,2024,8,1,321700
46,3679,4,1,0,1,0,5,1976,28,1,391900
47,2328,3,2,0,2,1,4,1970,38,0,230800
48,1446,2,1,0,3,0,6,2020,42,1,179600
49,2868,5,3,1,1,1,8,2025,2,1,438800
50,3688,1,3,1,2,0,3,1992,23,0,396300
51,3014,5,2,1,2,0,1,1981,17,1,364900
52,2097,1,1,0,2,0,6,1975,29,1,206200
53,3235,2,3,0,2,1,5,2022,24,1,398500
54,1400,4,1,0,2,1,5,1983,27,0,174500
55,3163,4,3,0,3,1,9,1992,38,0,364300
56,2861,5,3,1,3,1,10,2020,18,0,412100
57,1041,5,3,1,1,0,10,2018,28,0,201100
58,2841,3,1,0,3,1,3,2009,39,1,322600
59,3624,1,1,0,2,0,5,1974,48,0,320400
60,3412,3,3,1,3,0,8,1983,50,0,352200
61,3745,1,1,1,1,1,6,2008,36,1,404500
62,2163,2,3,0,1,1,4,2019,10,1,304300
63,2939,5,3,1,3,1,7,1993,19,0,385400
64,2190,1,2,0,2,1,5,1989,20,1,252000
65,3803,4,3,0,3,0,4,1976,23,1,425800
66,2278,2,1,0,2,0,4,2008,18,1,279800
67,3356,4,2,1,1,0,10,1970,46,0,342600
68,1575,2,3,0,1,0,7,1984,38,1,168500
69,834,1,3,0,2,1,10,2015,5,1,179900
70,3053,4,2,0,3,1,1,2014,17,0,385800
71,3952,1,1,0,1,0,4,1974,6,0,411200
72,2755,3,2,0,1,0,10,2009,24,0,336500
73,2385,2,2,1,3,0,4,2006,18,1,304500
74,3873,5,2,0,3,1,5,1992,29,0,445800
75,1821,4,3,0,1,1,1,2004,35,0,224600
76,3413,1,2,1,3,1,4,1986,42,0,340300
77,1929,4,1,0,3,0,10,1980,42,0,208900
78,2300,1,2,1,3,0,8,1993,20,1,278000
79,1502,3,3,0,2,1,8,1975,42,0,160200
80,3249,5,1,0,1,0,5,2019,25,1,406400
81,3577,4,1,1,2,1,1,1976,49,0,352200
82,2379,4,3,0,2,0,8,1987,21,0,295400
83,961,1,2,0,2,1,8,2017,4,0,180100
84,1001,1,2,1,2,0,7,1999,17,0,146600
85,2781,4,2,1,1,0,8,2020,35,1,354600
86,1795,3,2,0,2,0,6,2013,37,1,227000
87,3117,4,3,0,1,1,10,2018,48,0,366700
88,1615,2,1,1,2,0,2,2013,15,1,227000
89,1255,2,2,1,3,0,5,1983,36,0,136500
90,2075,4,2,1,2,1,1,2013,7,1,314000
91,1816,3,2,0,1,0,9,2008,19,1,254100
92,3143,1,3,1,3,1,10,2015,3,0,417800
93,3567,1,3,1,2,0,8,1994,2,1,434700
94,1137,4,1,0,2,0,1,1999,46,0,121700
95,1678,5,3,0,1,0,6,2008,9,0,267300
96,1876,1,3,0,1,0,3,1978,44,1,165600
97,1591,2,2,0,3,1,6,1978,9,0,205600
98,3064,2,3,0,3,1,9,2021,34,1,376400
99,1563,5,2,0,3,1,4,1980,10,1,236300
100,3035,5,3,1,3,1,10,2015,25,1,421000
101,1179,2,2,1,1,1,10,2023,31,1,193400
102,1292,4,3,0,3,0,9,1990,14,1,212200
103,3912,4,2,0,3,1,8,2018,41,0,453700
104,1980,4,2,0,3,1,9,2024,9,1,323500
105,2862,2,3,1,2,1,3,2013,8,0,373200
106,864,5,3,1,3,1,8,1974,40,1,136400
107,3368,3,1,0,3,0,6,2009,6,1,424800
108,2167,2,2,0,1,1,8,2003,20,1,276700
109,1952,2,2,1,3,0,3,1986,42,0,196200
110,2827,1,2,1,2,0,2,1978,16,0,299700
111,3495,4,1,0,1,1,3,1993,3,0,423000
112,2295,1,1,1,3,0,7,1985,14,1,271500
113,3934,2,1,1,1,0,5,1973,47,0,366900
114,1962,2,3,1,3,0,1,1993,14,0,247200
115,2322,2,2,0,2,0,7,2025,23,1,304700
116,3440,3,3,1,3,1,5,2020,36,0,413000
117,1191,1,1,0,3,1,1,2003,13,1,166600
118,2498,5,3,0,2,0,7,1970,34,0,278800
119,1218,4,2,0,1,0,2,2007,3,1,213300
120,3136,4,1,1,3,0,2,2023,22,0,394600
121,1178,3,1,1,1,0,2,1970,26,1,130800
122,2596,1,1,1,2,1,3,1976,41,1,247100
123,3078,4,3,1,3,0,2,2020,35,1,383300
124,3865,2,1,0,2,0,2,1974,27,1,387000
125,2888,1,2,0,2,1,8,1979,10,1,332800
126,3899,4,3,1,2,0,5,2015,34,1,464900
127,2982,1,1,0,3,1,7,2019,40,1,333200
128,1000,3,1,1,1,1,2,1978,1,1,164500
129,2663,5,2,1,1,0,8,2024,4,0,396300
130,1579,5,2,0,1,0,9,2022,13,0,266400
131,3777,1,2,1,2,1,9,2020,40,1,427700
132,3904,3,3,1,3,1,4,2018,7,0,498900
133,3919,4,3,1,2,0,10,2011,49,1,450400
134,1302,2,2,0,1,1,6,2021,43,0,162700
135,3254,1,2,0,2,0,1,2009,10,1,379400
136,2551,1,2,1,3,0,1,2025,15,0,321600
137,1604,4,2,0,1,0,8,1991,11,1,235900
138,2946,2,2,0,2,0,4,1984,27,0,307100
139,3531,2,3,1,2,1,5,2025,3,1,470600
140,2695,4,3,0,2,1,9,2005,6,1,382500
141,3573,1,2,1,2,0,7,1996,18,1,406300
142,2370,4,1,0,3,0,1,2008,22,1,300000
143,1760,5,2,0,3,1,4,1976,20,0,230000
144,3460,4,3,0,1,1,4,2013,34,0,405000
145,2285,3,1,0,2,1,9,1978,12,1,285500
146,3490,1,2,0,1,0,9,1975,12,1,379000
147,1828,3,1,1,3,1,8,2009,14,0,269800
148,1302,1,1,1,3,1,2,2017,32,0,166200
149,3614,1,1,0,2,1,3,1995,9,1,407900
150,1197,5,1,1,2,1,7,1995,4,1,229700
151,1670,4,1,1,3,0,4,1992,28,1,219000
152,3642,4,2,0,2,1,4,1999,11,1,448700
153,1192,5,3,1,3,1,5,2025,33,1,224700
154,1006,5,1,0,3,1,5,1972,19,0,149100
155,1838,2,1,0,1,0,3,2025,6,0,258800
156,2681,3,3,1,2,1,2,1996,5,1,357600
157,3739,1,3,0,1,0,8,2007,41,0,388400
158,2284,2,2,1,3,0,10,2025,2,0,342400
159,1663,4,2,1,1,1,10,2014,12,0,274300
160,3590,2,2,1,3,1,10,1989,38,1,396000
161,1363,4,3,1,2,1,4,1986,27,1,196800
162,1820,5,1,0,1,0,1,1998,48,1,200000
163,895,1,3,1,1,1,4,2023,0,1,194500
164,2723,1,3,0,2,0,1,2024,2,0,351300
165,2557,1,2,1,2,1,10,1994,0,0,334700
166,3332,5,2,1,1,1,8,1986,48,1,372200
167,3078,4,1,0,3,0,2,2008,17,0,373300
168,3596,5,2,0,2,1,1,2015,19,1,452100
169,2478,1,2,1,2,0,9,1979,45,0,236300
170,1340,1,3,1,2,0,9,2002,6,1,216000
171,1859,1,2,0,2,0,4,1996,16,1,223900
172,3372,4,2,1,3,0,7,1970,2,0,410200
173,1983,4,3,0,1,0,6,2005,27,1,264800
174,2522,2,1,0,3,0,4,1976,8,0,283200
175,3957,2,1,1,3,1,8,1973,27,1,424200
176,2619,3,2,0,2,0,3,1970,42,0,245900
177,3425,4,2,1,3,1,2,1978,38,0,365500
178,3529,5,1,1,3,1,6,2007,41,1,420400
179,3404,4,1,1,1,1,6,1977,0,0,416400
180,2397,2,3,1,2,1,1,1975,37,1,248200
181,3860,1,1,0,1,0,9,2018,36,1,418000
182,3493,2,1,0,1,1,6,2019,32,0,391300
183,1595,2,1,0,1,0,7,2022,14,1,234500
184,1851,2,2,1,3,1,10,1975,40,0,198100
185,2443,3,1,1,2,1,9,1998,34,1,296300
186,2163,3,2,1,3,0,6,1974,0,0,284300
187,2781,3,1,0,1,1,5,2004,45,0,293600
188,2154,5,1,1,1,1,5,1976,13,0,278900
189,2463,3,1,0,3,1,4,1989,15,0,295800
190,2329,5,1,0,2,0,3,2019,8,1,338900
191,2838,4,1,0,1,1,4,2021,26,0,352800
192,2296,4,3,1,3,0,8,1993,20,0,305600
193,3037,3,1,1,1,0,10,2002,41,0,335200
194,2208,4,2,0,2,1,7,1979,13,1,288300
195,2200,4,2,0,2,0,6,1991,48,1,239000
196,2106,1,3,1,3,0,1,2015,43,0,230100
197,3480,3,2,0,3,0,7,2011,43,1,389500
198,3475,3,3,1,1,0,2,2020,2,1,456500
199,1772,2,1,1,2,1,1,1972,13,0,201700
200,2568,2,1,0,3,1,7,1999,23,1,307300
201,2082,4,1,1,1,0,9,1988,23,1,267700
202,1509,2,3,0,3,0,3,2017,32,1,201900
203,2279,1,3,0,2,1,5,1997,17,1,278400
204,2234,3,3,0,2,1,9,2002,23,0,290900
205,1448,1,3,1,3,0,2,2010,38,1,175800
206,1117,3,1,0,1,1,6,2014,4,0,200700
207,2057,5,3,1,3,1,9,1993,18,0,302700
208,1483,3,3,1,1,1,8,2013,44,0,198300
209,1463,1,1,1,3,1,7,2009,24,0,196300
210,2798,4,2,0,2,1,4,1974,46,1,286800
211,2431,2,2,1,2,0,8,1992,1,1,325600
212,2295,2,1,1,3,1,7,1996,47,0,242000
213,1936,1,3,0,3,1,4,1971,35,1,192100
214,2653,2,3,0,3,1,8,1984,38,1,290300
215,2320,4,2,0,3,0,2,1980,24,0,264000
216,3289,2,3,1,2,1,5,1977,29,0,352400
217,1363,5,1,0,1,0,6,2005,35,1,190800
218,2091,3,3,0,1,0,9,1971,2,0,268100
219,3984,5,2,0,1,0,7,1980,15,0,457900
220,2436,3,2,0,3,0,2,1986,18,0,280600
221,3799,5,1,1,3,0,3,2001,5,1,483400
222,3952,2,2,0,1,0,1,2024,46,0,410200
223,1498,2,1,0,2,1,8,1990,38,1,167800
224,2960,4,2,0,2,0,3,2008,46,0,322000
225,801,5,1,0,3,0,5,2012,4,1,192100
226,1441,3,1,1,1,0,7,2000,7,1,225600
227,3067,3,2,1,1,0,9,2021,17,1,403200
228,2389,2,2,0,1,0,3,1980,46,1,220900
229,1654,2,2,0,3,1,4,1979,33,1,179900
230,2559,2,1,0,3,1,1,2000,34,1,278900
231,3232,5,3,0,1,0,6,2025,24,0,417200
232,2461,3,1,0,3,1,10,1985,25,1,295600
233,1953,5,1,0,1,0,4,2014,42,1,244300
234,1876,3,1,1,3,1,10,2024,44,1,255600
235,2507,3,3,1,1,0,10,1975,6,1,324700
236,3577,4,3,1,1,1,5,2025,20,1,466700
237,2495,2,2,0,3,0,5,1976,26,0,260500
238,2533,5,2,1,1,1,7,2009,4,1,379300
239,2239,5,1,0,1,0,3,2019,47,1,268400
240,3094,2,3,1,3,0,9,2012,20,1,393400
241,1635,5,1,1,1,0,8,1997,8,1,262500
242,1002,4,3,0,2,1,10,1991,12,1,192200
243,922,5,1,0,1,1,8,1992,30,1,151200
244,1200,3,1,0,1,1,1,2016,27,1,173500
245,1566,2,1,0,1,1,10,2005,47,1,177100
246,1093,2,3,0,3,0,4,1982,24,0,132300
247,3127,4,2,1,3,0,2,1971,13,0,360200
248,3731,5,3,0,1,0,2,2013,4,0,477100
249,997,3,3,1,1,1,5,2024,39,1,169200
250,3829,1,1,0,3,0,4,1981,45,0,353400
251,2730,3,1,0,2,0,9,1992,20,1,326000
252,3599,3,3,1,3,1,7,1984,33,1,408400
253,2991,5,2,1,3,1,6,1976,17,1,376600
254,1408,1,1,0,3,0,2,1989,27,0,142300
255,1947,4,2,1,2,0,5,2001,47,1,231200
256,986,5,2,1,2,1,8,1991,40,1,157600
257,3311,2,1,0,3,0,9,1974,1,0,380600
258,2594,1,1,1,2,0,3,1995,28,1,279400
259,1459,2,3,0,1,0,10,1986,5,0,207400
260,3611,1,1,0,2,1,1,2001,35,0,363600
261,3802,2,3,1,3,0,7,1981,2,0,449200
262,2755,5,3,1,3,0,4,1977,49,1,301000
263,3250,1,1,1,3,0,10,1975,21,1,352500
264,2169,4,1,1,2,0,8,2006,21,0,291400
265,2786,5,2,1,1,1,5,1972,45,1,302100
266,2334,1,2,1,1,1,4,1992,27,0,254900
267,946,2,2,0,3,1,1,2017,24,0,147600
268,3711,3,3,1,1,0,1,1992,15,1,430600
269,2534,1,1,1,1,0,1,1998,12,1,293400
270,2643,5,3,1,1,0,6,1999,29,1,339800
271,1288,2,2,1,2,0,6,1981,17,1,172300
272,3776,5,3,1,3,1,8,1987,36,0,439600
273,2759,2,2,0,2,0,7,1986,43,1,279400
274,2463,5,2,1,2,0,3,2008,44,1,300300
275,3398,1,3,1,1,1,1,2010,46,1,356800
276,3185,1,1,0,3,1,2,1985,13,1,350000
277,3719,1,1,0,1,0,7,2002,21,1,406400
