House_ID,Area,Bedrooms,Age,Price
1,3974,3,46,431400
2,1660,4,28,228000
3,2094,1,16,253400
4,1930,3,30,243000
5,1895,5,34,255500
6,3892,5,47,442200
7,2438,4,20,313800
8,2969,2,22,344900
9,1266,3,47,159600
10,2038,2,30,243800
11,1130,5,0,213000
12,2282,4,10,308200
13,2935,5,0,393500
14,3971,4,6,481100
15,3719,1,40,391900
16,930,2,12,151000
17,2485,3,19,309500
18,1569,4,5,241900
19,3191,1,29,350100
20,2315,1,48,243500
21,3653,2,5,430300
22,3233,4,33,380300
23,2015,3,34,247500
24,1755,3,19,236500
25,3124,3,37,355400
26,1984,5,29,269400
27,1259,5,50,175900
28,821,4,32,140100
29,3100,3,23,367000
30,1547,1,30,184700
31,3704,3,15,435400
32,1274,4,39,178400
33,1882,3,15,253200
34,3358,2,26,379800
35,2847,3,35,329700
36,3547,1,21,393700
37,1775,4,14,253500
38,2606,4,45,305600
39,989,1,0,158900
40,3805,4,27,443500
41,3534,3,32,401400
42,3805,4,35,435500
43,1362,3,14,202200
44,2699,4,30,329900
45,2067,3,5,281700
46,3679,3,3,444900
47,2328,1,19,273800
48,1446,1,3,201600
49,2868,5,9,377800
50,3688,1,6,422800
51,3014,3,26,355400
52,2097,3,5,284700
53,3235,4,30,383500
54,1400,4,35,195000
55,3163,5,26,390300
56,2861,3,12,354100
57,1041,5,10,194100
58,2841,3,8,356100
59,3624,1,7,415400
60,3412,4,9,422200
61,3745,5,1,473500
62,2163,2,23,263300
63,2939,3,34,339900
64,2190,1,33,246000
65,3803,2,49,401300
66,2278,1,10,277800
67,3356,1,0,395600
68,1575,3,4,233500
69,834,1,26,117400
70,3053,5,6,399300
71,3952,2,49,416200
72,2755,1,36,299500
73,2385,1,37,261500
74,3873,4,0,477300
75,1821,4,31,241100
76,3413,5,16,425300
77,1929,4,17,265900
78,2300,1,3,287000
79,1502,1,48,162200
80,3249,2,12,382900
81,3577,4,4,443700
82,2379,3,21,296900
83,961,4,25,161100
84,1001,1,3,157100
85,2781,2,22,326100
86,1795,4,4,265500
87,3117,2,8,373700
88,1615,4,12,239500
89,1255,5,8,217500
90,2075,1,3,264500
91,1816,1,25,216600
92,3143,3,13,381300
93,3567,1,1,415700
94,1137,3,30,163700
95,1678,1,49,178800
96,1876,4,50,227600
97,1591,4,25,224100
98,3064,5,1,405400
99,1563,4,40,206300
100,3035,2,45,328500
101,1179,4,43,164900
102,1292,3,36,173200
103,3912,5,1,490200
104,1980,2,39,229000
105,2862,2,27,329200
106,864,1,22,124400
107,3368,3,6,410800
108,2167,4,38,268700
109,1952,4,39,246200
110,2827,1,21,321700
111,3495,4,35,404500
112,2295,2,0,299500
113,3934,4,33,450400
114,1962,4,3,283200
115,2322,2,40,262200
116,3440,3,34,390000
117,1191,3,30,169100
118,2498,2,32,287800
119,1218,2,4,187800
120,3136,5,42,371600
121,1178,5,42,175800
122,2596,4,10,339600
123,3078,4,31,366800
124,3865,5,46,440500
125,2888,4,0,378800
126,3899,3,42,427900
127,2982,3,5,373200
128,1000,1,27,133000
129,2663,5,16,350300
130,1579,3,49,188900
131,3777,1,10,427700
132,3904,2,40,420400
133,3919,3,26,445900
134,1302,1,11,179200
135,3254,4,12,403400
